step,variable,baseline,shocked,delta,delta_pct,shock_id,shock_label
5,trade_gdp,1.2882,1.2738,-0.0144,-1.12,S2_debt,Government debt +15 pp GDP
5,unemployment,0.1757,0.1725,-0.0032,-1.82,S2_debt,Government debt +15 pp GDP
5,urban_pop_growth,0.0819,0.0827,0.0008,1.0,S2_debt,Government debt +15 pp GDP
1,current_account,-1.2781,-1.2734,0.0047,0.37,S3_inflation,Inflation shock +5 pp
1,dom_credit_pvt,15.8429,15.8686,0.0257,0.16,S3_inflation,Inflation shock +5 pp
1,fdi_inflows,0.2363,0.2366,0.0002,0.1,S3_inflation,Inflation shock +5 pp
1,gdp_growth,2.8704,2.8491,-0.0213,-0.74,S3_inflation,Inflation shock +5 pp
1,gdp_per_capita,907.458,909.1872,1.7292,0.19,S3_inflation,Inflation shock +5 pp
1,gdp_usd,53673531539.7122,53767291194.2034,93759654.4912,0.17,S3_inflation,Inflation shock +5 pp
1,gov_expense_gdp,13.8614,13.9395,0.078,0.56,S3_inflation,Inflation shock +5 pp
1,inflation_cpi,3.8246,6.3124,2.4878,65.05,S3_inflation,Inflation shock +5 pp
1,inflation_deflator,2.7008,2.7161,0.0153,0.57,S3_inflation,Inflation shock +5 pp
1,labor_force_part,33.4587,33.6207,0.162,0.48,S3_inflation,Inflation shock +5 pp
1,military_exp_gdp,0.4869,0.4882,0.0014,0.28,S3_inflation,Inflation shock +5 pp
1,money_broad_gdp,20.1598,20.1537,-0.006,-0.03,S3_inflation,Inflation shock +5 pp
1,real_interest_rate,3.8698,3.8864,0.0165,0.43,S3_inflation,Inflation shock +5 pp
1,tax_revenue_gdp,7.0594,7.0088,-0.0506,-0.72,S3_inflation,Inflation shock +5 pp
1,trade_gdp,20.4786,20.5129,0.0343,0.17,S3_inflation,Inflation shock +5 pp
1,unemployment,2.7898,2.7839,-0.0058,-0.21,S3_inflation,Inflation shock +5 pp
1,urban_pop_growth,1.3123,1.3071,-0.0051,-0.39,S3_inflation,Inflation shock +5 pp
2,current_account,-0.6397,-0.6374,0.0023,0.35,S3_inflation,Inflation shock +5 pp
2,dom_credit_pvt,7.9427,7.9011,-0.0416,-0.52,S3_inflation,Inflation shock +5 pp
2,fdi_inflows,0.1182,0.1183,0.0001,0.05,S3_inflation,Inflation shock +5 pp
2,gdp_growth,1.4333,1.4197,-0.0137,-0.95,S3_inflation,Inflation shock +5 pp
2,gdp_per_capita,454.44,454.1341,-0.3059,-0.07,S3_inflation,Inflation shock +5 pp
2,gdp_usd,26882854038.8939,26939264832.9353,56410794.0414,0.21,S3_inflation,Inflation shock +5 pp
2,gov_debt_gdp,-0.0,-0.0003,-0.0002,-1122.41,S3_inflation,Inflation shock +5 pp
2,gov_expense_gdp,6.9326,6.9678,0.0352,0.51,S3_inflation,Inflation shock +5 pp
