is_retweet,retweet_retweet_count,retweet_screen_name,retweet_text,text
1,53,MigunaMiguna,"The discussion at my diner table revolves around the urgent need for an EFFICIENT PUBLIC TRANSIT SYSTEM in Kenya where some of the millions of youth struggling as Boda Boda riders will be GAINFULLY EMPLOYED. But despot Uhuru Kenyatta wants to ""regulate Boda Boda riders."" Bure!",RT @MigunaMiguna: The discussion at my diner table revolves around the urgent need for an EFFICIENT PUBLIC TRANSIT SYSTEM in Kenya where so…
1,76,citizentvkenya,President Kenyatta Orders Nationwide Crackdown On All Boda Boda Operators https://t.co/ra3yCkZM2u https://t.co/A1BkyQJy3a,RT @citizentvkenya: President Kenyatta Orders Nationwide Crackdown On All Boda Boda Operators https://t.co/ra3yCkZM2u https://t.co/A1BkyQJy…
0,,,,"@Marcelasdeb Onda esto...
https://t.co/51OUWM8mIf"
1,60,MigunaMiguna,"The #InternationalWomensDay must be celebrated with honesty. Those who abduct, torture and murder Kenyans, destroy our property and disobey court orders cannot preach freedom to us. Few criminal Boda Boda Riders learnt from despot Uhuru Kenyatta and the likes of Babu Owino.","RT @MigunaMiguna: The #InternationalWomensDay must be celebrated with honesty. Those who abduct, torture and murder Kenyans, destroy our pr…"
1,2,KINDHEARTEDMED,HABÉIS DICHO BODA.,RT @KINDHEARTEDMED: HABÉIS DICHO BODA.
1,1,,No se qué de una boda... https://t.co/eGrWzZG3Dm,RT @MAN0FFOCUS: No se qué de una boda... https://t.co/eGrWzZG3Dm
1,11,,"Government and its reactions. This Boda boda issue, is no longer about the Forest Road incident  it is now about a business interest that begun in 2018. Curiously, one event was sponsored by @RUBiSKenya_ 
@Aaroncheruiyot calls it knee jerk, I agree!","RT @OleItumbi: Government and its reactions. This Boda boda issue, is no longer about the Forest Road incident  it is now about a business…"
1,1,williamkimath11,"Bwana If you want to understand boda boda meanace go to Igembe North constituency, they charge 30 bob but mnabebewa 4 people. Yes you heard it here watu 4","RT @williamkimath11: Bwana If you want to understand boda boda meanace go to Igembe North constituency, they charge 30 bob but mnabebewa 4…"
1,53,MigunaMiguna,"The discussion at my diner table revolves around the urgent need for an EFFICIENT PUBLIC TRANSIT SYSTEM in Kenya where some of the millions of youth struggling as Boda Boda riders will be GAINFULLY EMPLOYED. But despot Uhuru Kenyatta wants to ""regulate Boda Boda riders."" Bure!",RT @MigunaMiguna: The discussion at my diner table revolves around the urgent need for an EFFICIENT PUBLIC TRANSIT SYSTEM in Kenya where so…
1,136,gabrieloguda,President Uhuru Kenyatta has ordered a crackdown on all Boda Boda operators in the country. Won't be long before the billionaire hustler releases a statement from London saying his businesses are being targeted.,RT @gabrieloguda: President Uhuru Kenyatta has ordered a crackdown on all Boda Boda operators in the country. Won't be long before the bill…
0,,,,@StateHouseKenya You have given ruto 5m votes. Za boda
1,3,Cedric_SNR,"To ALL Boda Boda riders,
The message is very clear.
This regime under the current president doesn't value you at all. Look at how you are being treated just because the DP associates with you. It is the same regime that Raila wants to inherit. OPEN YOUR EYES.
 #ClassWarLoading","RT @Cedric_SNR: To ALL Boda Boda riders,
The message is very clear.
This regime under the current president doesn't value you at all. Look…"
